,igdb_game_string,igdb_series
0,grand-theft-auto-v,yes
1,grand-theft-auto-v,yes
2,grand-theft-auto-vice-city,yes
3,grand-theft-auto-v,yes
4,grand-theft-auto-iii,yes
5,grand-theft-auto-iv,yes
6,grand-theft-auto-iv,yes
7,grand-theft-auto-v,yes
8,grand-theft-auto-liberty-city-stories,yes
9,uncharted-3-drakes-deception,no
10,uncharted-2-among-thieves,yes
11,red-dead-redemption,yes
12,red-dead-redemption,yes
13,driver,yes
14,god-of-war-2018,no
15,metal-gear-solid-2-sons-of-liberty,yes
16,metal-gear-solid-4-guns-of-the-patriots,yes
17,uncharted-the-nathan-drake-collection,yes
18,lego-star-wars-the-complete-saga,yes
19,assassins-creed-ii,no
20,assassins-creed,no
21,batman-arkham-city,yes
22,assassins-creed-ii,no
23,resident-evil-5,yes
24,grand-theft-auto-vice-city-stories,yes
25,uncharted-drakes-fortune,no
26,assassins-creed,no
27,lego-star-wars-the-complete-saga,yes
28,batman-arkham-city,yes
29,driver-2,no
30,monster-hunter-world,yes
31,the-lord-of-the-rings-the-two-towers,yes
32,tomb-raider,yes
33,spider-man-the-movie,no
34,batman-arkham-asylum,yes
35,assassins-creed-revelations,no
36,metal-gear-solid-3-snake-eater,yes
37,assassins-creed-revelations,no
38,frogger,yes
39,assassins-creed-unity,no
40,batman-arkham-knight,yes
41,assassins-creed-origins,yes
42,far-cry-5,yes
43,harry-potter-and-the-sorcerers-stone,no
44,assassins-creed-syndicate,yes
45,assassins-creed-unity,no
46,grand-theft-auto-liberty-city-stories,yes
47,the-getaway,yes
48,batman-arkham-asylum,yes
49,assassins-creed-brotherhood,no
50,lego-star-wars-the-video-game,yes
51,resident-evil-5,yes
52,rugrats-in-paris-the-movie,no
53,grand-theft-auto-2,yes
54,spider-man-2,yes
55,watch-dogs-2,yes
56,star-wars-episode-iii-revenge-of-the-sith,yes
57,the-lord-of-the-rings-the-return-of-the-king,yes
58,true-crime-streets-of-la,yes
59,middle-earth-shadow-of-mordor,yes
60,enter-the-matrix,yes
61,spider-man,yes
62,resident-evil-6,yes
63,saints-row-2,yes
64,metal-gear-solid-v-the-phantom-pain,yes
65,tom-clancys-splinter-cell,yes
66,infamous,yes
67,hitman-2-silent-assassin,yes
68,assassins-creed-brotherhood,no
69,skylanders-spyros-adventure,no
